"","V1","2.5%","97.5%"
"clust2_comp1_1",-0.131620124369497,-0.205068993479766,-0.0542754015078847
"clust3_comp1_1",0.00521322932262778,-0.0467229491319557,0.0612644770678906
"clust4_comp1_1",0.0682386526705506,0.0124353972960798,0.115866008752285
"clust5_comp1_1",0.0981639756809982,0.00391705139360103,0.197917647756674
"clust2_comp2_1",-0.106374730225332,-0.17423573888764,-0.044517234767049
"clust3_comp2_1",0.0391212907077901,-0.0099703704724442,0.0893623038144164
"clust4_comp2_1",0.0717981948991033,0.0334134207728782,0.106031643701339
"clust5_comp2_1",0.0886004044992516,0.00197294797458597,0.16689066621496
"clust2_comp3_1",0.135086261703771,0.0340630156984584,0.245297752090269
"clust3_comp3_1",0.142377819847852,0.0605415764704652,0.212999618407468
"clust4_comp3_1",0.0826628219269614,0.0119157496494724,0.15867793805422
"clust5_comp3_1",0.243586656493012,0.141544266455252,0.38453767309346
"clust2_comp4_1",0.0217605842348278,-0.0600251163047744,0.0987346183918149
"clust3_comp4_1",0.11643327692464,0.0478316788185757,0.177666946557183
"clust4_comp4_1",0.147754164478987,0.0885139414435297,0.212551070716441
"clust5_comp4_1",0.156528360112843,0.0528164777833013,0.26882324081083
"clust2_comp5_1",-0.110569757759654,-0.209537448711422,0.00512129904638355
"clust3_comp5_1",-0.0371325383577086,-0.12055543788074,0.0433409033205206
"clust4_comp5_1",0.107714888026921,0.0429952068650374,0.183149335999297
"clust5_comp5_1",-0.0415841895861647,-0.173465245617831,0.087596350853803
"clust2_comp6_1",-0.144795114557112,-0.210378595029465,-0.0668552921497349
"clust3_comp6_1",-0.00977396883174598,-0.0742284335304795,0.0553302137777791
"clust4_comp6_1",0.102864008666134,0.0442908097312327,0.160248588075066
"clust5_comp6_1",-0.0642973720540964,-0.161438686944994,0.0283268273680763
"clust2_comp7_1",-0.181129060564755,-0.258324546135634,-0.111993743524127
"clust3_comp7_1",0.00864724936466761,-0.0503519360416138,0.0663778540407658
"clust4_comp7_1",0.057830337168439,0.00586306637471584,0.110053500666487
"clust5_comp7_1",0.0525001516843438,-0.0399272070299083,0.147001988711786
"clust2_comp8_1",-0.0460476358336205,-0.135096960790258,0.0427406220172935
"clust3_comp8_1",-0.00702900964028924,-0.07083879568697,0.0580230625555547
"clust4_comp8_1",-0.0334609057930098,-0.0947441948265938,0.0234556002935053
"clust5_comp8_1",0.0697878482674534,-0.0278348933367283,0.166069457415286
